,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),RF (mm)
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,86.2,206.34,18.16,43.12,61.28,73.55,14.29,0.85,36.54,11.75,45.56,0.81,173.71,181.81,0.0
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,68.7,170.53,19.88,41.94,61.82,70.89,13.31,0.78,31.45,8.38,34.78,1.42,192.22,136.89,0.0
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,65.26,179.88,19.15,33.4,52.56,71.63,16.88,0.71,34.51,21.15,30.89,1.57,201.93,188.4,0.0
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,55.64,156.73,18.09,36.81,54.9,70.89,7.18,0.63,33.96,7.16,26.55,2.05,203.32,210.62,0.0
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,64.27,172.17,17.91,32.43,50.35,69.97,6.23,0.69,33.22,22.54,30.04,2.39,229.98,158.51,0.0
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,82.61,234.28,21.79,40.13,61.93,70.03,6.88,0.94,26.18,11.5,30.08,2.43,155.07,182.51,0.0
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,76.37,210.54,19.45,36.87,56.32,73.28,7.45,0.81,43.13,25.17,34.04,1.89,154.51,158.66,0.0
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,60.83,163.25,17.81,43.73,61.54,69.03,8.32,0.72,50.57,7.23,34.08,1.86,129.5,176.3,0.0
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,82.85,224.44,18.77,45.56,64.33,70.1,8.81,0.85,45.79,15.27,37.21,1.7,190.75,163.53,0.0
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,82.57,197.9,18.77,47.56,66.33,65.34,9.39,0.88,34.83,12.33,32.28,1.89,193.71,167.87,0.0
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,79.67,177.3,17.32,44.59,61.92,59.65,9.75,0.66,34.84,7.33,28.33,2.26,192.77,178.94,0.0
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,83.38,191.83,17.98,35.39,53.37,64.86,10.13,0.78,43.39,24.43,33.15,1.97,153.83,184.49,0.0
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,94.4,223.05,17.99,26.78,44.77,75.12,10.69,0.75,45.51,11.88,61.74,2.05,110.04,148.1,0.0
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,86.93,207.91,18.98,30.52,49.5,73.91,8.47,0.73,36.85,23.84,67.81,2.04,175.1,111.66,0.0
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,98.92,217.08,17.02,29.89,46.91,60.8,6.45,0.69,37.02,10.86,70.56,1.99,129.18,122.64,0.01
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,88.41,190.73,19.02,35.69,54.71,60.99,7.09,0.64,34.74,16.55,67.75,1.45,142.48,179.23,0.01
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,67.55,160.76,15.15,32.65,47.79,50.76,8.07,0.69,40.54,43.14,66.24,1.33,181.35,151.5,0.01
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,56.08,105.11,16.55,34.0,50.55,54.42,8.59,0.85,15.06,23.81,88.9,1.94,246.12,48.87,0.14
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,73.7,136.3,19.59,37.63,57.22,56.01,9.74,1.1,30.68,17.99,69.56,1.11,207.69,206.31,0.0
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,72.95,157.14,21.99,47.38,69.42,62.38,8.54,1.05,35.94,43.82,48.34,0.83,282.38,244.7,0.0
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,73.11,185.94,18.04,43.16,61.19,58.8,5.37,0.73,32.26,16.78,38.55,1.23,239.74,222.14,0.0
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,82.74,252.21,20.68,40.27,60.95,56.79,4.79,0.77,30.05,9.21,34.57,1.5,254.86,231.54,0.0
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,92.12,273.75,20.84,45.06,65.9,55.8,4.43,0.73,27.31,10.12,32.1,1.98,235.84,158.41,0.0
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,82.5,229.47,18.98,42.05,61.03,53.16,4.04,0.67,33.29,7.89,30.67,2.29,239.26,190.97,0.0
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,95.34,255.69,22.51,47.48,69.99,58.15,4.07,0.93,33.87,9.9,34.7,2.04,228.8,166.68,0.0
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,89.78,206.31,21.59,40.33,61.92,57.02,4.93,0.68,38.06,10.67,34.39,1.27,241.11,168.52,0.0
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,74.32,189.4,18.25,40.58,58.83,54.14,5.29,0.72,41.3,8.91,33.15,0.99,213.0,188.7,0.0
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,83.52,215.24,17.1,38.94,56.04,57.34,5.58,0.75,44.29,10.6,41.26,0.78,207.3,167.64,0.0
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,71.74,185.58,14.84,38.39,53.23,48.45,6.82,0.65,51.12,8.63,32.63,0.9,272.73,194.85,0.0
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,63.49,177.92,14.59,36.22,50.81,46.61,7.22,0.55,42.36,8.03,29.63,1.23,273.93,230.61,0.0
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,77.56,208.78,14.56,35.93,50.49,40.41,6.49,0.72,48.64,14.92,25.21,1.7,251.7,220.61,0.0
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,72.33,187.58,13.81,35.15,48.96,38.17,5.73,0.64,54.93,7.38,25.6,2.58,191.14,212.68,0.0
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,89.07,239.76,14.67,32.98,47.65,45.92,5.74,0.88,52.42,21.34,37.79,2.95,169.73,153.58,0.0
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,80.03,171.11,15.13,29.87,45.0,50.82,6.46,0.71,40.47,7.71,48.96,2.13,216.97,190.62,0.0
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,95.83,227.34,16.27,37.46,53.73,49.43,7.83,0.77,43.8,10.04,40.79,1.58,224.25,181.52,0.0
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,106.45,303.53,16.05,37.91,53.96,49.53,8.51,0.66,36.55,6.68,51.99,1.98,196.57,99.47,0.0
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,86.5,222.51,14.96,45.47,60.41,40.28,8.15,0.83,52.44,11.07,19.31,2.92,248.42,206.0,0.0
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,80.22,191.96,14.91,35.39,50.3,45.13,7.08,0.78,45.77,17.59,22.12,2.1,210.74,212.06,0.0
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,61.71,153.92,14.46,27.59,42.05,47.95,6.69,0.62,52.66,13.9,40.62,2.05,179.29,185.78,0.0
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,84.07,217.3,15.85,32.93,48.78,49.56,7.11,0.84,43.58,18.29,38.73,2.28,153.76,195.72,0.0
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,54.62,131.44,14.95,22.72,37.66,55.73,7.56,0.61,55.06,16.14,49.78,2.36,178.31,161.39,0.0
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,57.86,142.1,14.09,24.17,38.26,45.86,8.98,0.63,47.44,6.88,54.86,1.82,177.04,161.81,0.0
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,47.17,115.12,13.68,19.2,32.88,44.42,10.17,0.49,38.97,3.19,60.65,1.41,174.74,185.69,0.0
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,45.88,118.46,13.49,21.27,34.77,40.57,8.16,0.53,43.59,5.39,63.26,1.17,172.43,157.83,0.0
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,57.48,132.13,12.99,32.11,45.09,33.45,5.92,0.54,44.92,12.45,50.24,0.74,156.36,109.04,0.0
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,50.31,103.21,12.23,27.41,39.64,28.45,6.53,0.65,61.11,17.65,37.3,0.86,195.78,231.73,0.0
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,45.63,116.23,12.3,23.32,35.62,30.06,6.59,0.53,51.85,12.28,45.7,0.97,216.41,196.79,0.0
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,52.21,128.46,12.4,32.25,44.65,28.84,6.24,0.68,54.13,14.56,32.72,0.9,186.87,161.08,0.0
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,53.38,122.12,12.9,30.52,43.41,33.32,6.02,0.6,60.8,41.81,32.71,1.11,224.39,223.44,0.0
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,52.25,129.28,12.8,28.4,41.2,32.06,5.32,0.69,55.08,42.22,25.91,1.72,238.45,206.71,0.0
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,62.65,161.47,12.67,27.97,40.64,33.11,4.89,0.81,60.78,54.74,23.72,2.38,240.84,153.48,0.0
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,54.8,137.46,13.15,29.02,42.18,35.02,4.62,0.66,50.42,22.79,32.28,2.1,247.4,105.61,0.0
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,56.46,122.77,13.59,22.36,35.93,41.28,4.85,0.52,46.11,16.86,62.5,1.48,174.04,198.65,0.75
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,39.56,86.49,13.45,23.75,37.17,38.13,7.43,0.5,45.37,24.25,62.54,0.93,182.94,166.1,0.0
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,45.62,119.8,15.46,39.91,55.36,32.03,8.01,0.69,38.06,24.75,36.54,1.34,272.66,192.11,0.0
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,56.56,141.24,15.2,32.25,47.44,39.48,7.35,0.7,48.87,61.48,36.85,2.04,197.82,251.42,0.0
365,21-Apr-2021 - 00:00,22-Apr-2021 - 00:00,38.37,92.12,14.12,22.37,36.47,39.91,7.13,0.49,44.16,6.0,57.97,2.52,209.42,210.88,0.0
