,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,24.91,1.57,9.37,10.62,2.91,0.27,6.45,0.0,0.0,,,,,82.28,0.38,234.59,38.58
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,25.29,3.05,9.07,11.98,2.61,0.52,19.39,0.07,0.26,0.15,0.08,,,73.54,0.34,210.24,73.7
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,26.99,2.3,7.51,9.74,3.85,0.41,18.98,0.17,0.3,0.12,0.19,,,73.18,0.33,218.78,58.4
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,26.77,4.51,8.25,12.74,3.12,0.52,17.88,0.62,0.68,0.13,0.13,,,77.66,0.22,142.58,49.13
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,23.42,3.92,9.35,13.13,2.02,0.51,18.88,0.39,0.22,0.28,0.06,,,70.11,0.25,188.58,35.99
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,19.08,4.8,8.51,13.26,1.98,0.57,15.86,0.6,0.36,0.5,0.05,,,76.0,0.28,191.14,42.06
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,15.86,3.97,8.08,12.0,2.62,0.5,15.76,0.35,0.23,0.08,0.05,,,70.84,0.24,179.32,37.72
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,22.21,2.28,5.56,7.76,1.84,0.27,21.98,0.31,0.49,0.09,,,,69.48,0.29,185.98,51.86
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,22.3,3.75,9.52,13.25,1.98,0.41,21.79,0.25,0.07,0.12,0.08,,,69.59,0.3,167.5,65.01
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,30.66,3.51,8.65,12.11,2.16,0.52,16.66,0.11,0.02,0.06,0.01,,,72.83,0.29,194.98,52.1
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,26.16,3.84,9.21,13.0,4.09,0.41,31.18,0.03,0.0,0.01,,,,71.06,0.3,213.98,58.88
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,32.3,3.01,12.08,15.05,6.02,0.51,16.65,0.28,0.06,0.22,0.05,,,71.66,0.33,179.42,42.78
